Name,Genre,Description,Year,Runtime
White Lightning,"Action, Crime, Drama            ",An ex con teams up with federal agents to help them with breaking up a moonshine ring.,1973,101 min
Alice Doesn't Live Here Anymore,"Drama, Romance            ","A recently widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer.",1974,112 min
Blazing Saddles,"Comedy, Western            ","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",1974,93 min
Sangue per Dracula,Horror            ,An ailing vampire count travels to Italy with his servant to find a bride.,1974,103 min
Bring Me the Head of Alfredo Garcia,"Action, Crime, Drama            ",An American barroom pianist and his prostitute girlfriend go on a trip through the Mexican underworld to collect the bounty on the head of a dead gigolo.,1974,112 min
Busting,"Comedy, Crime, Drama            ","Defying orders to lay-off the case, two Los Angeles vice-squad cops go after a local mobster and use unorthodox methods to achieve results.",1974,92 min
Chinatown,"Drama, Mystery, Thriller            ","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",1974,130 min
Dark Star,"Comedy, Sci-Fi            ","In the far reaches of space, a small crew, 20 years into their solitary mission, find things beginning to go hilariously wrong.",1974,83 min
Dirty Mary Crazy Larry,"Action, Crime, Thriller            ","Down-on-their-luck racers Larry and Deke steal from a supermarket manager to buy a car that will help them advance their racing chances. Their escape does not go as planned when Larry's one-night stand, Mary, tags along for the ride.",1974,93 min
Freebie and the Bean,"Action, Comedy, Crime            ","San Francisco police detectives Freebie and Bean are determined to bust local crime boss Red Meyers at any cost, even if this means destroying the whole city in the process.",1974,113 min
From Beyond the Grave,"Drama, Fantasy, Horror            ","An anthology of four short horror stories revolving around a mysterious antique shop owner and his antique pieces, each of which hides a deadly secret.",1974,98 min
Lenny,"Biography, Drama            ","The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establishment as too obscene for the public.",1974,111 min
No profanar el sueño de los muertos,Horror            ,"A cop chases two hippies suspected of a series of Manson family-like murders; unbeknownst to him, the real culprits are the living dead, brought to life with a hunger for human flesh by ultrasonic radiation being used for pest control.",1974,95 min
Phantom of the Paradise,"Comedy, Drama, Fantasy            ","A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.",1974,91 min
Phase IV,"Horror, Sci-Fi, Thriller            ",Desert ants suddenly form a collective intelligence and begin to wage war on the inhabitants. It is up to two scientists and a stray girl they rescue from the ants to destroy them.,1974,84 min
The Conversation,"Drama, Mystery, Thriller            ","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",1974,113 min
The Godfather Part II,"Crime, Drama            ","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,202 min
The Golden Voyage of Sinbad,"Action, Adventure, Fantasy            ","Sinbad and the vizier of Marabia, followed by evil magician Koura, seek the three golden tablets that can gain them access to the ancient temple of the Oracle of All Knowledge.",1973,105 min
The Parallax View,"Drama, Thriller            ",An ambitious reporter gets in way-over-his-head trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.,1974,102 min
The Sugarland Express,"Crime, Drama            ",A woman attempts to reunite her family by helping her husband escape prison and together kidnapping their son. But things don't go as planned when they are forced to take a police hostage on the road.,1974,110 min
The Super Cops,"Action, Comedy, Crime            ","The true story of two New York City cops. Greenberg & Hantz fought the system, became detectives and were known on the streets as ""Batman & Robin"".",1974,90 min
The Taking of Pelham One Two Three,"Action, Crime, Thriller            ","Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?",1974,104 min
The Texas Chain Saw Massacre,Horror            ,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",1974,83 min
Thunderbolt and Lightfoot,"Action, Comedy, Crime            ","With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organize a daring new heist.",1974,115 min
Young Frankenstein,Comedy            ,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",1974,106 min
A Boy and His Dog,"Comedy, Drama, Sci-Fi            ",A young man and his telepathic dog wander a post-apocalyptic wasteland.,1975,91 min
Death Race 2000,"Action, Comedy, Sci-Fi            ","In a dystopian future, a cross country automobile race requires contestants to run down innocent pedestrians to gain points that are tallied based on each kill's brutality.",1975,80 min
Profondo rosso,"Horror, Mystery, Thriller            ",A jazz pianist and a wisecracking journalist are pulled into a complex web of mystery after the former witnesses the brutal murder of a psychic.,1975,127 min
Dog Day Afternoon,"Biography, Crime, Drama            ","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",1975,125 min
Jaws,"Adventure, Thriller            ","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",1975,124 min
Lisztomania,"Biography, Comedy, Music            ",Composer and pianist Franz Liszt (Roger Daltrey) attempts to overcome his hedonistic life-style while repeatedly being drawn back into it by the many women in his life and fellow composer Richard Wagner (Paul Nicholas).,1975,103 min
Love and Death,"Comedy, War            ","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",1975,85 min
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy            ","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975,91 min
